Local,Media_Salarial,Media_Amostras_Salario_Cargo,Mediana_Amostras_Salario_Cargo,Salarios_Encontrados,Salarios_Nao_Encontrados,Total_Amostras,Diferenca_Relacao_Brasil,Diferenca_Relacao_Brasil_Porc
RS,7215.94,301,,69,17,20736,800.95,12.48560013
SP,7162.23,1960,,74,12,145016,747.24,11.6483424
RJ,6450.85,426,,71,15,30233,35.86,0.55900321
Brasil,6414.99,4185,,76,10,318068,0,0
SC,5844.49,265,,68,18,18040,-570.5,-8.893232881
PR,5772.06,319,,66,20,21041,-642.93,-10.02230713
MG,5682.07,393,,67,19,26352,-732.92,-11.42511524
ES,5547.4,60,,60,26,3613,-867.59,-13.52441703
